listing_url,name,zipcode,smart_location,country,latitude,longitude
https://www.airbnb.com/rooms/295200,Gaudi view´s Attic with private terrace,8024,"Barcelona, Spain",Spain,41.40771,2.15987
https://www.airbnb.com/rooms/315769,Sagrada Familia vintage apartment,8025,"Barcelona, Spain",Spain,41.40577,2.17324
https://www.airbnb.com/rooms/318865,A penthouse two terraces in Gracia,8012,"Barcelona, Spain",Spain,41.40048,2.158
https://www.airbnb.com/rooms/330766,Urquinaona Charming and Centric,8010,"Barcelona, Spain",Spain,41.39074,2.17306
https://www.airbnb.com/rooms/330957,Central 3 bedroom beautiful APT,8009,"Barcelona, Spain",Spain,41.39831,2.17174
https://www.airbnb.com/rooms/343622,Spacious loft nearby pl. España ,8014,"Barcelona, Spain",Spain,41.3765,2.14385
https://www.airbnb.com/rooms/343859,LOVELY 2 BD WIFI GRACIA,,"Barcelona, Spain",Spain,41.40004,2.16318
https://www.airbnb.com/rooms/352772,Elegant Centric Attic WIFI Car Park ,8015,"Barcelona, Spain",Spain,41.38084,2.15047
https://www.airbnb.com/rooms/353640,Great Apartment in Heart of Born,8003,"Barcelona, Spain",Spain,41.38109,2.17855
https://www.airbnb.com/rooms/364030,"Amazing views, centric apt w/terrac",8015,"Barcelona, Spain",Spain,41.3756,2.16127
https://www.airbnb.com/rooms/365147,"Sunny double room, central location",8015,"Barcelona, Spain",Spain,41.37818,2.15967
https://www.airbnb.com/rooms/378998,PRECIOSA Y ACOGEDORA HABITACIÓN ,8031,"Barcelona, Spain",Spain,41.42618,2.17423
https://www.airbnb.com/rooms/379868,INCREDIBLE VIEW front Sagrada Familia+PRIV.BALCONY,8025,"Barcelona, Spain",Spain,41.40642,2.17093
https://www.airbnb.com/rooms/384464,Paseo de Gracia / Plaza Catalunya,8007,"Barcelona, Spain",Spain,41.38855,2.16942
https://www.airbnb.com/rooms/384867,A PERFECT DOUBLE ROOM  BCN CENTER,8011,"Barcelona, Spain",Spain,41.38777,2.16252
https://www.airbnb.com/rooms/401990,LARGE ROOM in a COOL STREET!!,,"Barcelona, Spain",Spain,41.38962,2.16137
https://www.airbnb.com/rooms/402633,BARCELONA CITY CENTRE CHARM,8004,"Barcelona, Spain",Spain,41.37424,2.17044
https://www.airbnb.com/rooms/414786,Centric Double Room-Paseo de Gracia,8009,"Barcelona, Spain",Spain,41.39154,2.16766
https://www.airbnb.com/rooms/415848,"2 br, walking distance to ev-thing Cozy Space",8029,"Barcelona, Spain",Spain,41.38323,2.14396
https://www.airbnb.com/rooms/430585,Beautiful apartment in the heart of the Gothic,8002,"Barcelona, Spain",Spain,41.37841,2.17479
https://www.airbnb.com/rooms/431331,NEW APARTMENT IN GRACIA NEIGBOURHOO,8012,"Barcelona, Spain",Spain,41.40098,2.15514
https://www.airbnb.com/rooms/440427,Just Next to Sagrada Familia!!!,8013,"Barcelona, Spain",Spain,41.40254,2.17689
https://www.airbnb.com/rooms/440840,sociable rooms in Raval 2,8001,"Barcelona, Spain",Spain,41.38012,2.17106
https://www.airbnb.com/rooms/449854,Center location. Magic terrace. 360º views,8003,"Barcelona, Spain",Spain,41.38807,2.17922
https://www.airbnb.com/rooms/451758,"Bright, elegant loft in center town",8001,"Barcelona, Spain",Spain,41.38201,2.16618
https://www.airbnb.com/rooms/462062,CLOSE TO LA FIRA PL ESPAÑA /INCL BRKFAST,8015,"Barcelona, Spain",Spain,41.37973,2.15158
https://www.airbnb.com/rooms/462332,Cozy Single Room Barcelona Center,8015,"Barcelona, Spain",Spain,41.37878,2.15197
https://www.airbnb.com/rooms/471669,El Poblenou* House @ Barcelona,8005,"Barcelona, Spain",Spain,41.39832,2.19995
https://www.airbnb.com/rooms/472062,close to Paseo de Gracia.,8012,"Barcelona, Spain",Spain,41.39852,2.16159
https://www.airbnb.com/rooms/475786,Room to rent in beautiful apartment,8023,"Barcelona, Spain",Spain,41.41101,2.1465
https://www.airbnb.com/rooms/477256,lightful apartment in poblenou',8018,"Barcelona, Spain",Spain,41.40065,2.19487
https://www.airbnb.com/rooms/484390,MONTHLY COZY SUNNY - SAGRADA FAM.,8013,"Barcelona, Spain",Spain,41.40227,2.17517
https://www.airbnb.com/rooms/485011,A Super unique/charming/hip room!,8010,"Barcelona, Spain",Spain,41.3914,2.17889
https://www.airbnb.com/rooms/492963,Habitaciones de matrimonio  con balcon!,8041,"Barcelona, Spain",Spain,41.41592,2.17341
https://www.airbnb.com/rooms/493122,lightful apartment in poblenou,8018,"Barcelona, Spain",Spain,41.40018,2.19436
https://www.airbnb.com/rooms/504653,Double bed in Plaza España,8004,"Barcelona, Spain",Spain,41.36985,2.14287
https://www.airbnb.com/rooms/504860,Double room in Plaza España,8004,"Barcelona, Spain",Spain,41.37113,2.14468
https://www.airbnb.com/rooms/510923,Lovely Penthouse in Barcelona,8027,"Barcelona, Spain",Spain,41.42255,2.18061
https://www.airbnb.com/rooms/511739,sf41 NEW 2 BDR FLAT SAGRADA FAMILIA,8025,"Barcelona, Spain",Spain,41.40238,2.17082
https://www.airbnb.com/rooms/516102,Barcelona International Stop !!!,8015,"Barcelona, Spain",Spain,41.38083,2.14678
https://www.airbnb.com/rooms/516340,Paseo de Gracia/Plaza Catalunya I,8007,"Barcelona, Spain",Spain,41.39033,2.16812
https://www.airbnb.com/rooms/522705,"MODERN FLAT, BIG TERRACE BCN CENTER",8009,"Barcelona, Spain",Spain,41.39672,2.16975
https://www.airbnb.com/rooms/522987,"Room,  Bikes and views! DOBLE",8013,"Barcelona, Spain",Spain,41.39968,2.1817
https://www.airbnb.com/rooms/529106,Centric and Complete,8010,"Barcelona, Spain",Spain,41.3914,2.17603
https://www.airbnb.com/rooms/531195,Bright four bedroom apartment with balconies,8015,"Barcelona, Spain",Spain,41.37513,2.16751
https://www.airbnb.com/rooms/539349,habitación para 1 o 2 personas,8016,"Barcelona, Spain",Spain,41.4357,2.17562
