id,name,zipcode,smart_location,country,latitude,longitude
23681534,2176 - AB Casc Antic I - Lovely apartment near the Barcelona Cathedral,8002,"BARCELONA, Spain",Spain,41.38325,2.17325
23681541,2233 - AB Andrea Doria Beach 1-1 - Modern Barceloneta Beach Apartment with a Communal Terrace,8003,"BARCELONA, Spain",Spain,41.38126,2.19229
23681543,2235 - AB Andrea Doria Beach 2-1 - Nice Barceloneta Beach Apartment with a Communal Terrace,8003,"BARCELONA, Spain",Spain,41.37974,2.19125
23681547,2243 - AB Andrea Doria Beach 4-2 - Comfortable Barceloneta Beach Apartment with a Communal Terrace,8003,"BARCELONA, Spain",Spain,41.38102,2.19245
23681548,2245 - AB Andrea Doria Beach 5-2 - Luminous Barceloneta Beach Apartment with a Communal Terrace,8003,"BARCELONA, Spain",Spain,41.38079,2.19049
23681556,2354 - AB Plaza Barceloneta IV - Fabulous apartment in Barceloneta,8003,"BARCELONA, Spain",Spain,41.37899,2.18888
23681558,2393 - AB Margarit 3-1 - Wonderful 3-bedroom Apartment with a Balcony in Poble Sec,8004,"BARCELONA, Spain",Spain,41.37393,2.16297
23681562,2397 - AB Margarit 5-1 - Trendy 2-bedroom Apartment with a Balcony in Poble Sec,8004,"BARCELONA, Spain",Spain,41.37425,2.16458
23681563,2399 - AB Nou de la Rambla 3-2 - Modern 5 bedroom apartment in Barcelona for rent,8004,"BARCELONA, Spain",Spain,41.37224,2.1671
23681568,2432 - AB Sant Antoni Apartment - Modern 3 bedroom apartment in the centre of Barcelona,8005,"BARCELONA, Spain",Spain,41.37991,2.164
23681571,2472 - AB Barceloneta Beach Atlantida V - Fully renovated apartment just steps from the Barceloneta beach,8003,"BARCELONA, Spain",Spain,41.37754,2.18956
23681578,2522 - AB Passeig de Gracia Elegant - Grand apartment on Passeig de Gracia,8008,"BARCELONA, Spain",Spain,41.39394,2.16123
23681580,2523 - AB Passeig de Gracia Spacious - Elegant apartment for 5 on Passeig de Gràcia,8008,"BARCELONA, Spain",Spain,41.39517,2.16255
23681589,2613 - AB Barceloneta Vinaros Street V - Sleek apartment for 2 with balcony near the beach,8003,"BARCELONA, Spain",Spain,41.37703,2.19097
23681590,2615 - AB Premium Old Town 3-2 - Premium Old Town Apartment for 4,8001,"BARCELONA, Spain",Spain,41.38151,2.16658
23682188,1796 - AB Gran Via - Casanova I - Stylish apartment in the exciting Eixample neighborhood,8011,"BARCELONA, Spain",Spain,41.38328,2.16101
23682191,2238 - AB Nou de la Rambla 5-2 - Fantastic 3 bedroom apartment close to Paral.lel street,8013,"BARCELONA, Spain",Spain,41.37237,2.16902
23682195,2513 - AB Comte d Urgell 2-1 - Stylish 3-bedroom Eixample Esquerra Apartment with a Balcony,8030,"BARCELONA, Spain",Spain,41.38486,2.15642
23682196,2607 - AB Pl Molina Sant Gervasi Attic - Renovated apartment with private terrace in Sarrià Sant-Gervasi,8006,"BARCELONA, Spain",Spain,41.40335,2.14592
23682856,Habitación grande muy central,8013,"Barcelona, Spain",Spain,41.39403,2.1784
23685032,Room & livingroom to relax near Park Güell,8024,"Barcelona, Spain",Spain,41.41294,2.14936
23690440,"1935 - AB Beach Grau I Torras Shell - Cozy Barceloneta apartment, just steps from the beach",8003,"BARCELONA, Spain",Spain,41.37947,2.19197
23691762,Sagrada Familia 32 2 minutes walking,8025,"Barcelona, Spain",Spain,41.40469,2.17192
23693686,Centrica habitación en Barcelona,8001,"Barcelona, Spain",Spain,41.3806,2.16343
23694077,Barcelona Center Tamarit 1,8011,"Barcelona, Spain",Spain,41.38076,2.16272
23710638,Habitaciones individuales,8035,"Barcelona, Spain",Spain,41.42386,2.13801
